LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,deficit_pc,Flag Codes
AUS,GGNLEND,TOT,PC_GDP,A,1999,2.001485271,
AUS,GGNLEND,TOT,PC_GDP,A,2000,-1.234068867,
AUS,GGNLEND,TOT,PC_GDP,A,2001,-0.75796848,
AUS,GGNLEND,TOT,PC_GDP,A,2002,0.712769676,
AUS,GGNLEND,TOT,PC_GDP,A,2003,0.810532392,
AUS,GGNLEND,TOT,PC_GDP,A,2004,0.942353999,
AUS,GGNLEND,TOT,PC_GDP,A,2005,1.66373955,
AUS,GGNLEND,TOT,PC_GDP,A,2006,1.655265587,
AUS,GGNLEND,TOT,PC_GDP,A,2007,0.720199301,
AUS,GGNLEND,TOT,PC_GDP,A,2008,-3.745362637,
AUS,GGNLEND,TOT,PC_GDP,A,2009,-5.559436556,
AUS,GGNLEND,TOT,PC_GDP,A,2010,-4.461528905,
AUS,GGNLEND,TOT,PC_GDP,A,2011,-4.61526765,
AUS,GGNLEND,TOT,PC_GDP,A,2012,-2.886337171,
AUS,GGNLEND,TOT,PC_GDP,A,2013,-2.844676046,
AUS,GGNLEND,TOT,PC_GDP,A,2014,-2.317184342,
AUS,GGNLEND,TOT,PC_GDP,A,2015,-2.320507926,
AUS,GGNLEND,TOT,PC_GDP,A,2016,-1.653000418,
AUS,GGNLEND,TOT,PC_GDP,A,2017,-1.23788246,
AUS,GGNLEND,TOT,PC_GDP,A,2018,-0.552164205,
AUS,GGNLEND,TOT,PC_GDP,A,2019,-6.581973348,
AUT,GGNLEND,TOT,PC_GDP,A,1995,-6.133971278,
AUT,GGNLEND,TOT,PC_GDP,A,1996,-4.503615848,
AUT,GGNLEND,TOT,PC_GDP,A,1997,-2.575791199,
AUT,GGNLEND,TOT,PC_GDP,A,1998,-2.696226841,
AUT,GGNLEND,TOT,PC_GDP,A,1999,-2.595886654,
AUT,GGNLEND,TOT,PC_GDP,A,2000,-2.404702329,
AUT,GGNLEND,TOT,PC_GDP,A,2001,-0.661575545,
AUT,GGNLEND,TOT,PC_GDP,A,2002,-1.381174923,
AUT,GGNLEND,TOT,PC_GDP,A,2003,-1.786425452,
AUT,GGNLEND,TOT,PC_GDP,A,2004,-4.804986015,
AUT,GGNLEND,TOT,PC_GDP,A,2005,-2.508349601,
AUT,GGNLEND,TOT,PC_GDP,A,2006,-2.535448127,
AUT,GGNLEND,TOT,PC_GDP,A,2007,-1.354622684,
AUT,GGNLEND,TOT,PC_GDP,A,2008,-1.495265332,
AUT,GGNLEND,TOT,PC_GDP,A,2009,-5.329706203,
AUT,GGNLEND,TOT,PC_GDP,A,2010,-4.441267059,
AUT,GGNLEND,TOT,PC_GDP,A,2011,-2.553565994,
AUT,GGNLEND,TOT,PC_GDP,A,2012,-2.189070595,
AUT,GGNLEND,TOT,PC_GDP,A,2013,-1.950077521,
AUT,GGNLEND,TOT,PC_GDP,A,2014,-2.729148208,
AUT,GGNLEND,TOT,PC_GDP,A,2015,-1.009988607,
AUT,GGNLEND,TOT,PC_GDP,A,2016,-1.534591163,
AUT,GGNLEND,TOT,PC_GDP,A,2017,-0.816163891,
AUT,GGNLEND,TOT,PC_GDP,A,2018,0.175390981,
AUT,GGNLEND,TOT,PC_GDP,A,2019,0.672810945,
BEL,GGNLEND,TOT,PC_GDP,A,1995,-4.508356965,
BEL,GGNLEND,TOT,PC_GDP,A,1996,-4.00252745,
BEL,GGNLEND,TOT,PC_GDP,A,1997,-2.151257354,
BEL,GGNLEND,TOT,PC_GDP,A,1998,-1.024873637,
BEL,GGNLEND,TOT,PC_GDP,A,1999,-0.648349453,
BEL,GGNLEND,TOT,PC_GDP,A,2000,-0.07929747,
BEL,GGNLEND,TOT,PC_GDP,A,2001,0.232848557,
BEL,GGNLEND,TOT,PC_GDP,A,2002,-0.043695305,
BEL,GGNLEND,TOT,PC_GDP,A,2003,-1.864152301,
BEL,GGNLEND,TOT,PC_GDP,A,2004,-0.238697095,
BEL,GGNLEND,TOT,PC_GDP,A,2005,-2.714993278,
BEL,GGNLEND,TOT,PC_GDP,A,2006,0.239580626,
BEL,GGNLEND,TOT,PC_GDP,A,2007,0.066439884,
BEL,GGNLEND,TOT,PC_GDP,A,2008,-1.09534487,
BEL,GGNLEND,TOT,PC_GDP,A,2009,-5.430989099,
BEL,GGNLEND,TOT,PC_GDP,A,2010,-4.087706095,
BEL,GGNLEND,TOT,PC_GDP,A,2011,-4.330078267,
BEL,GGNLEND,TOT,PC_GDP,A,2012,-4.318382328,
BEL,GGNLEND,TOT,PC_GDP,A,2013,-3.129377927,
BEL,GGNLEND,TOT,PC_GDP,A,2014,-3.055682174,
BEL,GGNLEND,TOT,PC_GDP,A,2015,-2.413670796,
BEL,GGNLEND,TOT,PC_GDP,A,2016,-2.36311262,
BEL,GGNLEND,TOT,PC_GDP,A,2017,-0.686463167,
BEL,GGNLEND,TOT,PC_GDP,A,2018,-0.793754564,
BEL,GGNLEND,TOT,PC_GDP,A,2019,-1.948579525,
CAN,GGNLEND,TOT,PC_GDP,A,1981,-2.892294996,
CAN,GGNLEND,TOT,PC_GDP,A,1982,-6.898328357,
CAN,GGNLEND,TOT,PC_GDP,A,1983,-7.998034729,
CAN,GGNLEND,TOT,PC_GDP,A,1984,-7.940067448,
CAN,GGNLEND,TOT,PC_GDP,A,1985,-8.757327104,
CAN,GGNLEND,TOT,PC_GDP,A,1986,-7.321648976,
CAN,GGNLEND,TOT,PC_GDP,A,1987,-5.745765545,
CAN,GGNLEND,TOT,PC_GDP,A,1988,-4.510969957,
CAN,GGNLEND,TOT,PC_GDP,A,1989,-4.718283329,
CAN,GGNLEND,TOT,PC_GDP,A,1990,-5.911422126,
CAN,GGNLEND,TOT,PC_GDP,A,1991,-8.359398267,
CAN,GGNLEND,TOT,PC_GDP,A,1992,-9.199149263,
CAN,GGNLEND,TOT,PC_GDP,A,1993,-8.934764945,
CAN,GGNLEND,TOT,PC_GDP,A,1994,-6.935977535,
CAN,GGNLEND,TOT,PC_GDP,A,1995,-5.489640113,
CAN,GGNLEND,TOT,PC_GDP,A,1996,-3.05256596,
CAN,GGNLEND,TOT,PC_GDP,A,1997,0.038702165,
CAN,GGNLEND,TOT,PC_GDP,A,1998,0.142682776,
CAN,GGNLEND,TOT,PC_GDP,A,1999,1.655576247,
CAN,GGNLEND,TOT,PC_GDP,A,2000,2.639703961,
CAN,GGNLEND,TOT,PC_GDP,A,2001,0.529468967,
CAN,GGNLEND,TOT,PC_GDP,A,2002,-0.233895789,
CAN,GGNLEND,TOT,PC_GDP,A,2003,-0.126957865,
CAN,GGNLEND,TOT,PC_GDP,A,2004,0.767669538,
CAN,GGNLEND,TOT,PC_GDP,A,2005,1.553120098,
CAN,GGNLEND,TOT,PC_GDP,A,2006,1.827604363,
CAN,GGNLEND,TOT,PC_GDP,A,2007,1.819655807,
CAN,GGNLEND,TOT,PC_GDP,A,2008,0.184485477,
CAN,GGNLEND,TOT,PC_GDP,A,2009,-3.881351769,
CAN,GGNLEND,TOT,PC_GDP,A,2010,-4.737558582,
CAN,GGNLEND,TOT,PC_GDP,A,2011,-3.308732553,
CAN,GGNLEND,TOT,PC_GDP,A,2012,-2.524517007,
CAN,GGNLEND,TOT,PC_GDP,A,2013,-1.494758567,
CAN,GGNLEND,TOT,PC_GDP,A,2014,0.17489616,
CAN,GGNLEND,TOT,PC_GDP,A,2015,-0.061845591,
CAN,GGNLEND,TOT,PC_GDP,A,2016,-0.453312335,
CAN,GGNLEND,TOT,PC_GDP,A,2017,-0.112162665,
CAN,GGNLEND,TOT,PC_GDP,A,2018,0.275954119,
CAN,GGNLEND,TOT,PC_GDP,A,2019,0.539054629,
CAN,GGNLEND,TOT,PC_GDP,A,2020,-10.66304426,
CZE,GGNLEND,TOT,PC_GDP,A,1995,-12.37124962,
CZE,GGNLEND,TOT,PC_GDP,A,1996,-3.004884502,
CZE,GGNLEND,TOT,PC_GDP,A,1997,-3.174897921,
CZE,GGNLEND,TOT,PC_GDP,A,1998,-4.173050101,
CZE,GGNLEND,TOT,PC_GDP,A,1999,-3.128163861,
CZE,GGNLEND,TOT,PC_GDP,A,2000,-3.575635642,
CZE,GGNLEND,TOT,PC_GDP,A,2001,-5.759548002,
CZE,GGNLEND,TOT,PC_GDP,A,2002,-6.351361696,
CZE,GGNLEND,TOT,PC_GDP,A,2003,-6.858023441,
CZE,GGNLEND,TOT,PC_GDP,A,2004,-2.369538651,
CZE,GGNLEND,TOT,PC_GDP,A,2005,-3.026569568,
CZE,GGNLEND,TOT,PC_GDP,A,2006,-2.150143265,
CZE,GGNLEND,TOT,PC_GDP,A,2007,-0.644844856,
CZE,GGNLEND,TOT,PC_GDP,A,2008,-1.964203559,
CZE,GGNLEND,TOT,PC_GDP,A,2009,-5.411347589,
CZE,GGNLEND,TOT,PC_GDP,A,2010,-4.152000942,
CZE,GGNLEND,TOT,PC_GDP,A,2011,-2.700351498,
CZE,GGNLEND,TOT,PC_GDP,A,2012,-3.897100256,
CZE,GGNLEND,TOT,PC_GDP,A,2013,-1.283886714,
CZE,GGNLEND,TOT,PC_GDP,A,2014,-2.075491409,
CZE,GGNLEND,TOT,PC_GDP,A,2015,-0.643817651,
CZE,GGNLEND,TOT,PC_GDP,A,2016,0.711776193,
CZE,GGNLEND,TOT,PC_GDP,A,2017,1.50140596,
CZE,GGNLEND,TOT,PC_GDP,A,2018,0.912847653,
CZE,GGNLEND,TOT,PC_GDP,A,2019,0.265568235,
DNK,GGNLEND,TOT,PC_GDP,A,1995,-3.620031991,
DNK,GGNLEND,TOT,PC_GDP,A,1996,-2.482574628,
DNK,GGNLEND,TOT,PC_GDP,A,1997,-1.200213529,
DNK,GGNLEND,TOT,PC_GDP,A,1998,-0.38853696,
DNK,GGNLEND,TOT,PC_GDP,A,1999,0.868853785,
DNK,GGNLEND,TOT,PC_GDP,A,2000,1.887315011,
DNK,GGNLEND,TOT,PC_GDP,A,2001,1.140554208,
DNK,GGNLEND,TOT,PC_GDP,A,2002,-0.015387113,
DNK,GGNLEND,TOT,PC_GDP,A,2003,-0.133147614,
DNK,GGNLEND,TOT,PC_GDP,A,2004,2.073172872,
DNK,GGNLEND,TOT,PC_GDP,A,2005,4.955030541,
DNK,GGNLEND,TOT,PC_GDP,A,2006,4.987100072,
DNK,GGNLEND,TOT,PC_GDP,A,2007,5.020458128,
DNK,GGNLEND,TOT,PC_GDP,A,2008,3.17390813,
DNK,GGNLEND,TOT,PC_GDP,A,2009,-2.798142422,
DNK,GGNLEND,TOT,PC_GDP,A,2010,-2.710271475,
DNK,GGNLEND,TOT,PC_GDP,A,2011,-2.055766615,
DNK,GGNLEND,TOT,PC_GDP,A,2012,-3.490444397,
DNK,GGNLEND,TOT,PC_GDP,A,2013,-1.235647188,
DNK,GGNLEND,TOT,PC_GDP,A,2014,1.144427653,
DNK,GGNLEND,TOT,PC_GDP,A,2015,-1.329629842,
DNK,GGNLEND,TOT,PC_GDP,A,2016,-0.105986872,
DNK,GGNLEND,TOT,PC_GDP,A,2017,1.78626149,
DNK,GGNLEND,TOT,PC_GDP,A,2018,0.691173693,
DNK,GGNLEND,TOT,PC_GDP,A,2019,3.780724614,
FIN,GGNLEND,TOT,PC_GDP,A,1975,4.93015731,E
FIN,GGNLEND,TOT,PC_GDP,A,1976,7.609063483,E
FIN,GGNLEND,TOT,PC_GDP,A,1977,6.254731276,E
FIN,GGNLEND,TOT,PC_GDP,A,1978,3.82755814,E
FIN,GGNLEND,TOT,PC_GDP,A,1979,3.398652835,E
FIN,GGNLEND,TOT,PC_GDP,A,1980,3.702053065,
FIN,GGNLEND,TOT,PC_GDP,A,1981,5.106785405,
FIN,GGNLEND,TOT,PC_GDP,A,1982,3.053524286,
FIN,GGNLEND,TOT,PC_GDP,A,1983,1.518261015,
FIN,GGNLEND,TOT,PC_GDP,A,1984,3.228582117,
FIN,GGNLEND,TOT,PC_GDP,A,1985,3.335908662,
FIN,GGNLEND,TOT,PC_GDP,A,1986,3.828178585,
FIN,GGNLEND,TOT,PC_GDP,A,1987,1.625908205,
FIN,GGNLEND,TOT,PC_GDP,A,1988,5.09234519,
FIN,GGNLEND,TOT,PC_GDP,A,1989,6.729459431,
FIN,GGNLEND,TOT,PC_GDP,A,1990,5.317780538,
FIN,GGNLEND,TOT,PC_GDP,A,1991,-0.904498326,
FIN,GGNLEND,TOT,PC_GDP,A,1992,-5.32778184,
FIN,GGNLEND,TOT,PC_GDP,A,1993,-8.085592943,
FIN,GGNLEND,TOT,PC_GDP,A,1994,-6.495939349,
FIN,GGNLEND,TOT,PC_GDP,A,1995,-5.924971334,
FIN,GGNLEND,TOT,PC_GDP,A,1996,-3.246377947,
FIN,GGNLEND,TOT,PC_GDP,A,1997,-1.214724702,
FIN,GGNLEND,TOT,PC_GDP,A,1998,1.638527815,
FIN,GGNLEND,TOT,PC_GDP,A,1999,1.667244477,
FIN,GGNLEND,TOT,PC_GDP,A,2000,6.853461544,
FIN,GGNLEND,TOT,PC_GDP,A,2001,4.976214841,
FIN,GGNLEND,TOT,PC_GDP,A,2002,4.05694813,
FIN,GGNLEND,TOT,PC_GDP,A,2003,2.423739201,
FIN,GGNLEND,TOT,PC_GDP,A,2004,2.209652427,
FIN,GGNLEND,TOT,PC_GDP,A,2005,2.651696855,
FIN,GGNLEND,TOT,PC_GDP,A,2006,3.971150454,
FIN,GGNLEND,TOT,PC_GDP,A,2007,5.108193637,
FIN,GGNLEND,TOT,PC_GDP,A,2008,4.176768847,
FIN,GGNLEND,TOT,PC_GDP,A,2009,-2.484222573,
FIN,GGNLEND,TOT,PC_GDP,A,2010,-2.53371106,
FIN,GGNLEND,TOT,PC_GDP,A,2011,-1.019202214,
FIN,GGNLEND,TOT,PC_GDP,A,2012,-2.155822063,
FIN,GGNLEND,TOT,PC_GDP,A,2013,-2.524948488,
FIN,GGNLEND,TOT,PC_GDP,A,2014,-2.98747686,
FIN,GGNLEND,TOT,PC_GDP,A,2015,-2.425432268,
FIN,GGNLEND,TOT,PC_GDP,A,2016,-1.69825026,
FIN,GGNLEND,TOT,PC_GDP,A,2017,-0.646925997,
FIN,GGNLEND,TOT,PC_GDP,A,2018,-0.885766124,
FIN,GGNLEND,TOT,PC_GDP,A,2019,-0.980891614,
FRA,GGNLEND,TOT,PC_GDP,A,1978,-1.796824577,
FRA,GGNLEND,TOT,PC_GDP,A,1979,-0.482157656,
FRA,GGNLEND,TOT,PC_GDP,A,1980,-0.428536645,
FRA,GGNLEND,TOT,PC_GDP,A,1981,-2.40752179,
FRA,GGNLEND,TOT,PC_GDP,A,1982,-2.836913321,
FRA,GGNLEND,TOT,PC_GDP,A,1983,-2.540767887,
FRA,GGNLEND,TOT,PC_GDP,A,1984,-2.735951798,
FRA,GGNLEND,TOT,PC_GDP,A,1985,-2.972459677,
FRA,GGNLEND,TOT,PC_GDP,A,1986,-3.197413196,
FRA,GGNLEND,TOT,PC_GDP,A,1987,-2.01429234,
FRA,GGNLEND,TOT,PC_GDP,A,1988,-2.564376929,
FRA,GGNLEND,TOT,PC_GDP,A,1989,-1.782231043,
FRA,GGNLEND,TOT,PC_GDP,A,1990,-2.43397061,
FRA,GGNLEND,TOT,PC_GDP,A,1991,-2.863044504,
FRA,GGNLEND,TOT,PC_GDP,A,1992,-4.601218586,
FRA,GGNLEND,TOT,PC_GDP,A,1993,-6.358794486,
FRA,GGNLEND,TOT,PC_GDP,A,1994,-5.422899361,
FRA,GGNLEND,TOT,PC_GDP,A,1995,-5.108542995,
FRA,GGNLEND,TOT,PC_GDP,A,1996,-3.905879422,
FRA,GGNLEND,TOT,PC_GDP,A,1997,-3.65283417,
FRA,GGNLEND,TOT,PC_GDP,A,1998,-2.378437395,
FRA,GGNLEND,TOT,PC_GDP,A,1999,-1.602927625,
FRA,GGNLEND,TOT,PC_GDP,A,2000,-1.318422681,
FRA,GGNLEND,TOT,PC_GDP,A,2001,-1.379274477,
FRA,GGNLEND,TOT,PC_GDP,A,2002,-3.16028993,
FRA,GGNLEND,TOT,PC_GDP,A,2003,-4.01553721,
FRA,GGNLEND,TOT,PC_GDP,A,2004,-3.590570293,
FRA,GGNLEND,TOT,PC_GDP,A,2005,-3.355559897,
FRA,GGNLEND,TOT,PC_GDP,A,2006,-2.443685608,
FRA,GGNLEND,TOT,PC_GDP,A,2007,-2.636296205,
FRA,GGNLEND,TOT,PC_GDP,A,2008,-3.26373483,
FRA,GGNLEND,TOT,PC_GDP,A,2009,-7.174779051,
FRA,GGNLEND,TOT,PC_GDP,A,2010,-6.886721673,
FRA,GGNLEND,TOT,PC_GDP,A,2011,-5.154760881,
FRA,GGNLEND,TOT,PC_GDP,A,2012,-4.980984334,
FRA,GGNLEND,TOT,PC_GDP,A,2013,-4.084094523,
FRA,GGNLEND,TOT,PC_GDP,A,2014,-3.904659346,
FRA,GGNLEND,TOT,PC_GDP,A,2015,-3.62517467,
FRA,GGNLEND,TOT,PC_GDP,A,2016,-3.637256398,
FRA,GGNLEND,TOT,PC_GDP,A,2017,-2.958417093,
FRA,GGNLEND,TOT,PC_GDP,A,2018,-2.291027993,E
FRA,GGNLEND,TOT,PC_GDP,A,2019,-3.009636774,E
DEU,GGNLEND,TOT,PC_GDP,A,1995,-9.432231435,
DEU,GGNLEND,TOT,PC_GDP,A,1996,-3.570402523,
DEU,GGNLEND,TOT,PC_GDP,A,1997,-2.942100298,
DEU,GGNLEND,TOT,PC_GDP,A,1998,-2.566892704,
DEU,GGNLEND,TOT,PC_GDP,A,1999,-1.719220386,
DEU,GGNLEND,TOT,PC_GDP,A,2000,-1.584664476,
DEU,GGNLEND,TOT,PC_GDP,A,2001,-3.025444871,
DEU,GGNLEND,TOT,PC_GDP,A,2002,-3.874993176,
DEU,GGNLEND,TOT,PC_GDP,A,2003,-3.704201088,
DEU,GGNLEND,TOT,PC_GDP,A,2004,-3.334158372,
DEU,GGNLEND,TOT,PC_GDP,A,2005,-3.319436615,
DEU,GGNLEND,TOT,PC_GDP,A,2006,-1.653152096,
DEU,GGNLEND,TOT,PC_GDP,A,2007,0.26088696,
DEU,GGNLEND,TOT,PC_GDP,A,2008,-0.116356239,
DEU,GGNLEND,TOT,PC_GDP,A,2009,-3.150511299,
DEU,GGNLEND,TOT,PC_GDP,A,2010,-4.378646077,
DEU,GGNLEND,TOT,PC_GDP,A,2011,-0.881398595,
DEU,GGNLEND,TOT,PC_GDP,A,2012,0.009324994,
DEU,GGNLEND,TOT,PC_GDP,A,2013,0.039980792,
DEU,GGNLEND,TOT,PC_GDP,A,2014,0.579552713,
DEU,GGNLEND,TOT,PC_GDP,A,2015,0.960550926,
DEU,GGNLEND,TOT,PC_GDP,A,2016,1.160351417,
DEU,GGNLEND,TOT,PC_GDP,A,2017,1.361898977,
DEU,GGNLEND,TOT,PC_GDP,A,2018,1.836634976,
DEU,GGNLEND,TOT,PC_GDP,A,2019,1.521288471,
GRC,GGNLEND,TOT,PC_GDP,A,1995,-9.730979547,
GRC,GGNLEND,TOT,PC_GDP,A,1996,-8.15826266,
GRC,GGNLEND,TOT,PC_GDP,A,1997,-6.056026225,
GRC,GGNLEND,TOT,PC_GDP,A,1998,-6.268433569,
GRC,GGNLEND,TOT,PC_GDP,A,1999,-5.793462652,
GRC,GGNLEND,TOT,PC_GDP,A,2000,-4.0630872,
GRC,GGNLEND,TOT,PC_GDP,A,2001,-5.466055745,
GRC,GGNLEND,TOT,PC_GDP,A,2002,-6.024075591,
GRC,GGNLEND,TOT,PC_GDP,A,2003,-7.830423452,
GRC,GGNLEND,TOT,PC_GDP,A,2004,-8.827879771,
GRC,GGNLEND,TOT,PC_GDP,A,2005,-6.187942655,
GRC,GGNLEND,TOT,PC_GDP,A,2006,-5.94597758,
GRC,GGNLEND,TOT,PC_GDP,A,2007,-6.707074634,
GRC,GGNLEND,TOT,PC_GDP,A,2008,-10.17602394,
GRC,GGNLEND,TOT,PC_GDP,A,2009,-15.14771465,
GRC,GGNLEND,TOT,PC_GDP,A,2010,-11.29240799,B
GRC,GGNLEND,TOT,PC_GDP,A,2011,-10.46686648,
GRC,GGNLEND,TOT,PC_GDP,A,2012,-8.997884994,
GRC,GGNLEND,TOT,PC_GDP,A,2013,-13.23097064,
GRC,GGNLEND,TOT,PC_GDP,A,2014,-3.584448999,
GRC,GGNLEND,TOT,PC_GDP,A,2015,-5.651006072,
GRC,GGNLEND,TOT,PC_GDP,A,2016,0.543512768,
GRC,GGNLEND,TOT,PC_GDP,A,2017,0.727624206,
GRC,GGNLEND,TOT,PC_GDP,A,2018,1.02099124,E
GRC,GGNLEND,TOT,PC_GDP,A,2019,1.524969564,E
HUN,GGNLEND,TOT,PC_GDP,A,1995,-8.598951458,
HUN,GGNLEND,TOT,PC_GDP,A,1996,-4.376420274,
HUN,GGNLEND,TOT,PC_GDP,A,1997,-5.550687754,
HUN,GGNLEND,TOT,PC_GDP,A,1998,-7.424333259,
HUN,GGNLEND,TOT,PC_GDP,A,1999,-5.276627908,
HUN,GGNLEND,TOT,PC_GDP,A,2000,-3.04138711,
HUN,GGNLEND,TOT,PC_GDP,A,2001,-3.999402547,
HUN,GGNLEND,TOT,PC_GDP,A,2002,-8.79771369,
HUN,GGNLEND,TOT,PC_GDP,A,2003,-7.181648235,
HUN,GGNLEND,TOT,PC_GDP,A,2004,-6.600796292,
HUN,GGNLEND,TOT,PC_GDP,A,2005,-7.794689082,
HUN,GGNLEND,TOT,PC_GDP,A,2006,-9.270855733,
HUN,GGNLEND,TOT,PC_GDP,A,2007,-5.091020638,
HUN,GGNLEND,TOT,PC_GDP,A,2008,-3.787107973,
HUN,GGNLEND,TOT,PC_GDP,A,2009,-4.760992634,
HUN,GGNLEND,TOT,PC_GDP,A,2010,-4.435598498,
HUN,GGNLEND,TOT,PC_GDP,A,2011,-5.218104127,
HUN,GGNLEND,TOT,PC_GDP,A,2012,-2.330492314,
HUN,GGNLEND,TOT,PC_GDP,A,2013,-2.602712298,
HUN,GGNLEND,TOT,PC_GDP,A,2014,-2.780139336,
HUN,GGNLEND,TOT,PC_GDP,A,2015,-2.005597998,
HUN,GGNLEND,TOT,PC_GDP,A,2016,-1.798793462,
HUN,GGNLEND,TOT,PC_GDP,A,2017,-2.43131378,
HUN,GGNLEND,TOT,PC_GDP,A,2018,-2.116167399,
HUN,GGNLEND,TOT,PC_GDP,A,2019,-2.073174526,E
ISL,GGNLEND,TOT,PC_GDP,A,1998,-0.45762267,
ISL,GGNLEND,TOT,PC_GDP,A,1999,1.395526145,
ISL,GGNLEND,TOT,PC_GDP,A,2000,1.511170959,
ISL,GGNLEND,TOT,PC_GDP,A,2001,-0.177825191,
ISL,GGNLEND,TOT,PC_GDP,A,2002,-2.278395996,
ISL,GGNLEND,TOT,PC_GDP,A,2003,-2.278010142,
ISL,GGNLEND,TOT,PC_GDP,A,2004,0.516753808,
ISL,GGNLEND,TOT,PC_GDP,A,2005,5.282508662,
ISL,GGNLEND,TOT,PC_GDP,A,2006,6.733101813,
ISL,GGNLEND,TOT,PC_GDP,A,2007,5.903123865,
ISL,GGNLEND,TOT,PC_GDP,A,2008,-11.77616004,
ISL,GGNLEND,TOT,PC_GDP,A,2009,-8.244459204,
ISL,GGNLEND,TOT,PC_GDP,A,2010,-6.352400368,
ISL,GGNLEND,TOT,PC_GDP,A,2011,-6.274345951,
ISL,GGNLEND,TOT,PC_GDP,A,2012,-2.38290316,
ISL,GGNLEND,TOT,PC_GDP,A,2013,-1.009546134,
ISL,GGNLEND,TOT,PC_GDP,A,2014,0.54706964,
ISL,GGNLEND,TOT,PC_GDP,A,2015,-0.194546349,
ISL,GGNLEND,TOT,PC_GDP,A,2016,12.85567327,
ISL,GGNLEND,TOT,PC_GDP,A,2017,0.96962758,
ISL,GGNLEND,TOT,PC_GDP,A,2018,0.922278555,
ISL,GGNLEND,TOT,PC_GDP,A,2019,-1.534012777,
IRL,GGNLEND,TOT,PC_GDP,A,1995,-2.076243244,
IRL,GGNLEND,TOT,PC_GDP,A,1996,-0.197714579,
IRL,GGNLEND,TOT,PC_GDP,A,1997,1.373771594,
IRL,GGNLEND,TOT,PC_GDP,A,1998,2.072944971,
IRL,GGNLEND,TOT,PC_GDP,A,1999,3.541680479,
IRL,GGNLEND,TOT,PC_GDP,A,2000,4.85972497,
IRL,GGNLEND,TOT,PC_GDP,A,2001,0.960374268,
IRL,GGNLEND,TOT,PC_GDP,A,2002,-0.51915253,
IRL,GGNLEND,TOT,PC_GDP,A,2003,0.346405137,
IRL,GGNLEND,TOT,PC_GDP,A,2004,1.298970204,
IRL,GGNLEND,TOT,PC_GDP,A,2005,1.571293083,
IRL,GGNLEND,TOT,PC_GDP,A,2006,2.775545892,
IRL,GGNLEND,TOT,PC_GDP,A,2007,0.267863667,
IRL,GGNLEND,TOT,PC_GDP,A,2008,-7.017855128,
IRL,GGNLEND,TOT,PC_GDP,A,2009,-13.85099292,
IRL,GGNLEND,TOT,PC_GDP,A,2010,-32.06462722,
IRL,GGNLEND,TOT,PC_GDP,A,2011,-12.80812832,
IRL,GGNLEND,TOT,PC_GDP,A,2012,-8.106667274,
IRL,GGNLEND,TOT,PC_GDP,A,2013,-6.195012821,
IRL,GGNLEND,TOT,PC_GDP,A,2014,-3.634390317,
IRL,GGNLEND,TOT,PC_GDP,A,2015,-1.968869419,
IRL,GGNLEND,TOT,PC_GDP,A,2016,-0.666653928,
IRL,GGNLEND,TOT,PC_GDP,A,2017,-0.318470229,
IRL,GGNLEND,TOT,PC_GDP,A,2018,0.116304514,
IRL,GGNLEND,TOT,PC_GDP,A,2019,0.519481031,
